user_id,event,feature,event_date,plan
U1000,used_export,export,2026-03-23,starter
U1000,used_dashboard,dashboard,2026-03-23,starter
U1000,used_dashboard,dashboard,2026-04-04,starter
U1000,used_reports,reports,2026-04-20,starter
U1000,used_notifications,notifications,2026-04-05,starter
U1000,used_team_collab,team_collab,2026-04-14,starter
U1000,used_team_collab,team_collab,2026-03-30,starter
U1000,used_api_access,api_access,2026-03-20,starter
U1000,used_export,export,2026-03-23,starter
U1000,used_reports,reports,2026-04-17,starter
U1000,used_dashboard,dashboard,2026-03-31,starter
U1000,used_reports,reports,2026-04-14,starter
U1000,used_integrations,integrations,2026-03-16,starter
U1001,used_reports,reports,2025-11-26,free
U1001,used_api_access,api_access,2026-01-25,free
U1001,used_integrations,integrations,2026-04-20,free
U1001,used_dashboard,dashboard,2026-01-24,free
U1001,used_integrations,integrations,2026-01-12,free
U1001,used_dashboard,dashboard,2025-10-23,free
U1001,used_team_collab,team_collab,2026-01-11,free
U1001,used_dashboard,dashboard,2026-03-22,free
U1001,used_dashboard,dashboard,2026-02-22,free
U1001,used_reports,reports,2025-12-26,free
U1001,used_dashboard,dashboard,2026-01-19,free
U1002,used_reports,reports,2026-02-25,free
U1002,used_dashboard,dashboard,2026-04-04,free
U1002,used_dashboard,dashboard,2026-02-28,free
U1003,used_reports,reports,2026-02-23,free
U1003,used_reports,reports,2025-12-19,free
U1003,used_dashboard,dashboard,2026-04-03,free
U1003,used_dashboard,dashboard,2026-02-13,free
U1003,used_dashboard,dashboard,2025-11-01,free
U1003,used_dashboard,dashboard,2025-10-02,free
U1003,used_notifications,notifications,2026-03-27,free
U1003,used_dashboard,dashboard,2025-09-28,free
U1003,used_dashboard,dashboard,2026-02-28,free
U1003,used_notifications,notifications,2026-04-23,free
U1004,used_notifications,notifications,2026-02-21,starter
U1004,used_dashboard,dashboard,2026-01-07,starter
U1004,used_dashboard,dashboard,2026-04-02,starter
U1004,used_team_collab,team_collab,2025-10-07,starter
U1004,used_dashboard,dashboard,2025-12-03,starter
U1004,used_reports,reports,2025-10-27,starter
U1004,used_api_access,api_access,2025-12-03,starter
U1004,used_integrations,integrations,2025-11-21,starter
U1004,used_reports,reports,2026-02-22,starter
U1004,used_dashboard,dashboard,2026-03-23,starter
U1004,used_dashboard,dashboard,2025-10-26,starter
U1004,used_integrations,integrations,2025-11-27,starter
U1004,used_reports,reports,2026-04-23,starter
U1004,used_dashboard,dashboard,2025-10-27,starter
U1004,used_dashboard,dashboard,2026-03-04,starter
U1004,used_dashboard,dashboard,2026-02-04,starter
U1004,used_team_collab,team_collab,2026-01-23,starter
U1004,used_reports,reports,2026-04-12,starter
U1004,used_integrations,integrations,2026-03-01,starter
U1004,used_reports,reports,2026-03-05,starter
U1004,used_api_access,api_access,2025-10-30,starter
U1004,used_export,export,2025-11-19,starter
U1004,used_api_access,api_access,2026-01-14,starter
U1004,used_api_access,api_access,2026-02-12,starter
U1004,used_dashboard,dashboard,2025-12-19,starter
U1004,used_dashboard,dashboard,2025-11-07,starter
U1004,used_dashboard,dashboard,2026-02-26,starter
U1004,used_team_collab,team_collab,2026-02-24,starter
U1004,used_api_access,api_access,2025-11-05,starter
U1004,used_team_collab,team_collab,2026-02-12,starter
U1004,used_reports,reports,2026-01-09,starter
U1004,used_api_access,api_access,2026-01-23,starter
U1004,used_integrations,integrations,2026-02-13,starter
U1004,used_dashboard,dashboard,2025-11-05,starter
U1004,used_reports,reports,2026-03-06,starter
U1004,used_reports,reports,2026-02-24,starter
U1004,used_api_access,api_access,2026-03-04,starter
U1005,used_reports,reports,2026-03-29,starter
U1005,used_dashboard,dashboard,2026-03-01,starter
U1005,used_notifications,notifications,2026-02-26,starter
U1005,used_team_collab,team_collab,2026-03-08,starter
U1005,used_reports,reports,2026-04-03,starter
U1005,used_integrations,integrations,2026-04-10,starter
U1006,used_api_access,api_access,2026-02-21,pro
U1006,used_api_access,api_access,2025-12-20,pro
U1006,used_integrations,integrations,2026-02-16,pro
U1006,used_reports,reports,2025-08-13,pro
U1006,used_dashboard,dashboard,2026-01-03,pro
U1006,used_notifications,notifications,2025-09-23,pro
U1006,used_integrations,integrations,2026-02-17,pro
U1006,used_api_access,api_access,2025-07-26,pro
U1006,used_reports,reports,2026-03-19,pro
U1006,used_reports,reports,2025-10-30,pro
U1006,used_api_access,api_access,2026-04-07,pro
U1006,used_dashboard,dashboard,2025-08-21,pro
U1006,used_export,export,2025-10-01,pro
U1006,used_export,export,2026-03-07,pro
U1006,used_dashboard,dashboard,2026-03-31,pro
U1006,used_team_collab,team_collab,2025-11-25,pro
U1006,used_reports,reports,2026-01-01,pro
U1006,used_dashboard,dashboard,2026-02-19,pro
U1006,used_reports,reports,2025-09-22,pro
U1006,used_api_access,api_access,2025-09-24,pro
U1006,used_reports,reports,2025-10-12,pro
U1006,used_reports,reports,2025-12-22,pro
U1006,used_reports,reports,2025-12-12,pro
U1006,used_notifications,notifications,2026-03-30,pro
U1006,used_reports,reports,2025-11-27,pro
U1006,used_reports,reports,2025-10-08,pro
U1006,used_team_collab,team_collab,2026-04-12,pro
U1006,used_integrations,integrations,2025-10-03,pro
U1006,used_team_collab,team_collab,2025-12-14,pro
U1006,used_dashboard,dashboard,2026-02-23,pro
